Unnamed: 0,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
36,0,0.1098,42,2,0.0665,1094.79,2,0,1,0,0.0
37,0,0.3067,66,0,2.6745,3611.35,7,0,0,1,0.0
38,0,0.2835,44,0,1.6751,6389.66,4,0,1,0,0.0
39,0,0.315,76,0,0.0633,1363.17,14,0,1,0,2.0
40,0,0.4364,59,1,0.1591,,9,0,2,0,0.0
41,0,0.3833,45,0,0.2948,,7,0,0,0,1.0
42,0,0.2109,77,0,0.4725,2201.87,7,0,1,0,0.0
43,0,0.1985,33,0,0.3642,1306.05,6,0,3,0,1.0
44,0,0.4543,32,0,0.2741,3584.44,7,0,1,0,1.0
45,0,0.247,79,0,1.2954,4276.04,10,0,0,0,0.0
46,1,0.3844,79,2,1.1168,,8,0,2,1,2.0
47,0,0.1583,64,0,0.0794,,6,0,3,0,2.0
48,0,0.3493,79,0,0.3773,5160.65,5,0,0,0,2.0
49,0,0.1264,68,2,1.4508,,7,0,0,0,3.0
50,0,0.3824,61,0,0.1883,5899.64,4,0,1,1,0.0
51,0,0.2631,72,1,0.2203,,5,0,1,0,3.0
52,0,0.3988,69,2,0.1207,1917.94,8,0,1,0,0.0
53,1,0.1657,74,2,0.86,1123.78,7,0,0,1,1.0
54,0,0.5309,20,0,0.1443,4034.02,10,0,2,1,0.0
55,0,0.5253,54,0,0.6667,2282.49,8,1,0,1,0.0
56,0,0.074,68,1,2.3749,,11,0,1,0,2.0
57,0,0.1442,24,0,0.4955,1464.41,12,0,0,0,1.0
58,0,0.1992,38,1,1.8267,,12,0,0,0,0.0
59,0,0.2838,26,0,0.2727,3173.97,5,0,3,0,1.0
60,0,0.2594,56,0,0.1156,3420.66,4,0,0,0,2.0
61,0,0.1076,35,0,1.2959,4853.52,5,0,0,1,0.0
62,0,0.0904,21,0,1.3896,2824.93,6,0,0,0,2.0
63,0,0.4962,42,0,0.1864,790.84,10,0,0,0,0.0
64,0,0.688,77,0,1.3131,33907.59,8,1,1,0,1.0
65,0,0.561,31,0,0.2369,3098.15,11,0,0,0,2.0
66,0,0.0527,67,0,0.0532,22858.15,6,1,0,0,0.0
67,1,0.3027,75,2,1.3523,2770.91,6,0,6,1,1.0
68,0,0.5772,26,1,0.2226,1448.24,7,0,0,1,0.0
69,0,0.2656,43,0,0.0901,2423.49,3,0,0,0,1.0
70,0,0.2754,70,0,0.3181,6538.41,9,0,0,0,0.0
71,0,0.0985,19,1,0.5229,4668.42,7,0,1,0,0.0
72,0,0.2711,37,0,0.3893,3753.41,6,0,0,0,1.0
73,0,0.2349,45,0,0.5992,2899.14,9,0,1,0,1.0
74,0,0.2496,64,0,1.4341,3313.08,10,0,3,0,0.0
75,0,0.5517,77,0,0.0954,,8,1,2,0,0.0
76,0,0.0749,24,1,0.1125,,8,0,1,0,2.0
77,0,0.0963,61,0,0.4203,5746.01,9,0,1,0,1.0
78,0,0.2515,78,0,0.0756,1564.66,8,0,0,0,0.0
79,0,0.483,25,0,0.2764,1075.89,10,1,2,0,3.0
80,0,0.2282,64,1,0.0209,1282.84,9,0,2,0,2.0
81,1,0.1006,52,0,2.1714,,10,0,0,0,1.0
82,1,0.5542,31,0,1.2322,3532.98,4,1,1,0,2.0
83,0,0.5418,34,0,1.2481,2912.25,5,0,1,0,2.0
84,0,0.1428,53,1,2.3335,,7,0,1,0,0.0
85,0,0.687,67,0,1.9296,2995.66,12,0,0,1,
86,0,0.2287,57,1,0.7432,9247.32,6,0,1,0,1.0
87,0,0.4276,21,1,0.5201,,5,0,0,0,0.0
88,1,0.4481,19,0,0.2998,3064.58,9,1,1,1,0.0
89,0,0.121,79,0,1.5529,,9,0,1,0,1.0
90,0,0.3457,23,3,0.316,3867.24,13,0,0,0,1.0
91,0,0.4295,71,2,0.5028,4291.94,8,0,0,0,1.0
92,0,0.0553,59,0,1.05,1836.36,9,0,1,0,4.0
93,0,0.3588,21,1,0.1422,1347.13,10,0,1,0,0.0
94,0,0.5236,71,0,0.1105,6512.02,9,0,3,0,0.0
95,0,0.1319,46,0,0.3286,1536.25,4,0,1,0,1.0
96,0,0.1374,35,1,0.6926,3398.17,12,0,0,0,
97,0,0.1964,43,0,0.3447,3090.35,3,0,0,0,1.0
98,0,0.3471,61,1,3.0,4136.87,9,0,0,0,1.0
99,0,0.449,51,1,0.2451,1544.15,10,0,3,0,0.0
100,0,0.0058,27,1,1.2954,2781.43,12,0,1,0,1.0
101,0,0.4378,79,0,0.6989,1537.46,8,0,1,1,0.0
102,0,0.2711,53,0,3.0,3187.46,8,0,0,0,0.0
103,0,0.0264,31,1,0.0909,4306.77,7,0,0,0,0.0
104,0,0.1495,48,1,0.4726,,7,0,2,0,0.0
105,0,0.088,65,1,0.0853,8616.71,8,0,0,0,0.0
106,0,0.6072,32,0,0.2521,2516.41,6,0,1,0,2.0
107,0,0.2562,25,0,0.557,,14,0,1,0,0.0
108,0,0.2533,31,0,0.4413,,6,0,3,1,1.0
109,0,0.1852,40,0,0.2014,4526.32,10,0,0,0,0.0
110,0,0.1613,77,0,0.2189,7194.5,3,0,1,0,0.0
111,0,0.417,74,0,0.913,11871.03,12,0,2,0,2.0
112,0,0.643,79,0,0.1182,1676.67,8,0,0,1,0.0
113,0,0.298,57,0,0.0801,5332.64,4,0,1,0,0.0
114,0,0.1837,38,0,0.4141,1989.52,14,0,1,0,1.0
115,0,0.4153,33,0,0.0721,,7,1,0,0,1.0
116,0,0.2635,62,1,0.5435,1317.71,8,0,1,0,1.0
117,1,0.0579,35,0,0.9079,,10,0,1,1,1.0
118,0,0.2602,64,0,0.1788,2054.04,6,0,0,0,0.0
119,0,0.2672,70,0,0.116,4461.28,6,0,1,0,0.0
120,0,0.3686,41,0,0.163,,9,0,0,0,0.0
121,0,0.2599,43,0,0.435,1928.1,14,0,0,0,3.0
122,1,0.2282,42,1,0.0675,,11,0,1,0,0.0
123,0,0.0425,77,0,0.2411,2524.51,6,0,0,0,2.0
124,1,0.6313,77,0,1.4856,2307.46,8,1,0,1,0.0
125,0,0.4634,77,0,0.5017,1231.48,12,1,1,0,0.0
126,0,0.3086,62,0,2.1213,,6,0,3,0,2.0
127,0,0.1365,58,1,0.4414,,10,0,0,1,2.0
128,0,0.3177,46,2,0.0934,,5,0,0,0,1.0
129,1,0.1079,32,0,0.5804,1985.78,9,0,1,0,0.0
130,0,0.5198,62,0,0.0909,2465.78,7,1,0,0,2.0
131,0,0.1945,18,0,0.0372,5326.96,6,0,2,0,3.0
132,0,0.4326,42,0,0.1117,5385.91,9,0,2,0,1.0
133,0,0.2422,24,0,0.4794,10514.16,9,0,0,0,1.0
134,0,0.308,26,0,1.5453,4676.13,9,1,1,0,1.0
135,0,0.274,41,0,0.2337,1476.37,14,0,1,2,2.0
136,0,0.2252,18,0,0.162,5265.06,5,1,1,0,1.0
137,0,0.6623,61,0,0.2112,1856.83,7,0,0,1,1.0
138,0,0.1496,25,0,1.0141,2890.45,8,0,0,0,0.0
139,0,0.3585,41,0,0.6815,6593.68,7,0,1,0,0.0
140,1,0.2885,28,0,1.3621,1605.7,12,0,1,0,0.0
141,0,0.2174,68,0,0.2318,2875.12,7,0,1,0,0.0
142,0,0.1504,34,0,1.9626,1283.12,9,1,2,0,0.0
143,0,0.0281,25,0,0.6198,1514.77,16,0,1,0,1.0
144,0,0.3276,52,0,0.6525,2063.77,7,0,1,0,3.0
145,0,0.2701,52,0,0.1177,9473.41,7,0,1,0,0.0
146,0,0.0991,50,1,0.4195,3097.82,11,0,2,0,4.0
147,0,0.0383,76,0,0.0964,19263.19,8,0,1,0,0.0
148,1,0.3434,22,1,1.1147,,4,0,2,0,1.0
149,0,0.3186,59,0,3.0,6018.22,5,0,4,0,0.0
150,0,0.3223,56,0,0.2259,1407.19,8,0,0,1,1.0
151,0,0.1704,75,0,0.2244,2717.99,16,0,1,0,1.0
152,0,0.3999,58,0,0.5197,,7,0,0,0,1.0
153,1,0.2669,45,1,1.0231,2436.26,10,0,0,0,0.0
154,0,0.5512,24,0,0.2526,,8,0,3,0,0.0
155,0,0.1014,26,1,0.7634,2938.81,8,0,1,0,1.0
156,0,0.2308,25,0,1.3641,,7,0,1,0,1.0
157,0,0.3066,29,0,0.1106,2519.32,6,0,0,0,4.0
158,0,0.3512,51,0,0.5324,,10,2,1,0,2.0
159,1,0.3271,50,1,0.3731,1084.59,4,0,1,1,1.0
160,0,0.2936,65,0,0.2097,4141.77,8,0,1,0,1.0
161,0,0.2098,72,1,0.9182,2230.75,8,0,1,0,1.0
162,0,0.3347,40,1,0.7667,3613.86,4,0,0,0,1.0
163,0,0.0796,79,0,0.3097,5536.64,11,0,0,1,1.0
164,0,0.1081,41,1,0.0346,1103.26,8,0,0,0,0.0
165,0,0.1509,54,0,0.2681,8462.98,10,0,3,0,0.0
166,0,0.6298,52,0,0.1091,2642.66,4,0,0,1,0.0
167,0,0.3455,61,0,0.0789,11141.62,7,0,2,1,0.0
168,0,0.3106,57,0,1.5527,3180.53,8,0,0,0,1.0
169,0,0.2797,39,0,0.0737,,9,0,1,0,2.0
170,0,0.4037,44,0,0.1185,3155.56,14,0,1,0,1.0
171,0,0.1477,52,0,0.1048,3648.8,7,0,1,0,0.0
172,0,0.3221,18,0,0.106,3282.79,4,1,1,0,1.0
173,0,0.4773,52,0,0.2329,,7,0,3,0,1.0
174,1,0.8479,54,1,1.1769,2527.41,12,0,0,0,2.0
175,0,0.4873,64,0,0.4869,3543.92,10,0,3,0,2.0
176,0,0.1956,31,0,1.5976,4442.33,11,0,2,0,2.0
177,0,0.1164,20,2,0.0322,3563.83,9,0,0,0,0.0
178,0,0.2291,18,0,0.0943,4352.55,7,1,0,0,0.0
179,0,0.166,22,1,0.2357,1045.66,8,0,1,1,0.0
180,0,0.1153,43,0,0.9918,,7,0,0,1,3.0
181,0,0.2869,72,0,0.0975,1799.54,9,1,1,0,1.0
182,0,0.0977,31,1,0.2958,,8,0,2,0,0.0
183,0,0.144,56,0,1.1194,11029.85,6,0,0,0,0.0
184,0,0.1431,44,0,0.0595,8121.19,7,1,1,0,0.0
185,0,0.1922,26,0,2.14,3004.17,8,0,0,0,0.0
186,0,0.3519,32,0,0.0447,6398.6,5,0,0,1,0.0
187,0,0.1632,32,0,0.2103,2400.03,15,0,2,0,1.0
188,0,0.1833,43,2,0.3036,2178.76,12,0,4,0,0.0
189,1,0.0432,59,0,0.0277,1996.33,8,0,2,0,0.0
190,0,0.1401,77,0,0.1919,1933.86,14,0,1,1,2.0
191,0,0.1226,30,0,0.0406,2524.35,12,0,1,0,1.0
192,0,0.0382,68,0,2.1299,1835.97,8,0,0,0,2.0
193,0,0.144,49,0,3.0,,9,0,2,0,0.0
194,0,0.5645,56,0,1.4489,,4,0,1,0,1.0
195,0,0.2099,66,0,0.3706,1535.56,12,0,1,0,1.0
196,0,0.3706,69,0,0.2848,,6,0,1,0,1.0
197,0,0.2178,78,1,0.9933,2558.6,4,0,4,0,1.0
198,0,0.335,49,0,1.3832,4719.52,8,0,0,0,1.0
199,0,0.0381,21,0,2.0052,3054.07,4,0,0,0,2.0
200,0,0.2495,47,0,0.1804,,4,0,1,0,2.0
201,0,0.1715,54,0,0.2736,1247.38,3,0,1,1,0.0
202,0,0.2819,40,1,0.0507,1269.52,6,0,2,0,1.0
203,1,0.1795,56,0,1.2095,1653.13,8,0,1,0,
204,0,0.478,62,0,0.2399,,11,0,1,0,0.0
205,0,0.1823,32,0,0.4872,5759.65,7,0,1,2,2.0
206,0,0.1091,60,0,0.1024,3447.8,10,0,0,0,0.0
207,0,0.4202,46,1,0.298,822.52,8,0,0,0,2.0
208,0,0.1891,53,0,0.8799,1639.58,6,0,2,0,1.0
209,0,0.2824,30,0,0.043,,6,0,1,1,0.0
210,0,0.2804,49,0,0.4639,1498.32,5,0,0,0,0.0
211,0,0.1618,24,0,0.2362,3202.9,7,0,0,0,0.0
212,0,0.5135,76,0,0.1525,,11,0,1,0,1.0
213,0,0.4388,68,0,0.9574,2755.03,8,0,1,0,1.0
214,0,0.2768,39,0,0.0287,2032.0,8,0,1,0,1.0
215,0,0.1206,45,0,0.7554,3273.53,5,0,1,0,1.0
216,0,0.5871,19,1,0.2421,8296.9,15,0,2,0,0.0
217,0,0.4548,59,1,0.4473,,7,0,0,0,0.0
218,0,0.2684,62,1,0.1253,1419.77,9,0,0,0,0.0
219,1,0.1008,79,0,0.0613,17552.63,2,1,2,0,2.0
220,0,0.2122,74,0,0.5569,,11,0,1,1,0.0
221,0,0.1491,70,2,0.1031,1872.36,11,0,0,1,2.0
222,0,0.1728,23,1,0.3336,1650.24,10,0,0,0,1.0
223,0,0.3944,45,0,0.2131,3840.81,8,0,0,0,3.0
224,0,0.4146,45,0,0.0328,4955.16,9,0,1,2,2.0
225,1,0.4128,61,0,0.2462,10426.43,13,1,2,1,0.0
226,0,0.2474,61,0,1.1272,4320.0,7,0,1,0,2.0
227,0,0.1472,37,1,1.803,1901.64,10,0,1,2,2.0
228,0,0.2256,47,0,0.0922,2121.63,7,0,3,0,0.0
229,0,0.1834,79,1,0.9201,4692.51,5,0,2,1,0.0
230,0,0.3516,28,1,0.4344,1184.14,6,0,0,0,0.0
231,1,0.7011,75,2,0.6787,,11,0,2,2,0.0
232,1,0.2425,72,0,0.1422,,10,1,1,0,1.0
233,0,0.3983,45,0,0.0604,5923.92,13,0,1,0,1.0
234,0,0.3297,42,0,0.1752,7007.19,8,0,2,0,0.0
235,0,0.2358,56,0,1.8328,25681.59,7,0,2,0,2.0
236,0,0.1804,79,0,0.251,2444.01,12,0,0,0,2.0
237,0,0.2235,50,0,0.0877,2491.32,5,0,2,0,1.0
238,0,0.1382,18,1,0.4231,2402.74,7,0,0,1,0.0
239,0,0.2086,74,0,0.2974,3417.63,4,1,0,0,0.0
240,0,0.2627,44,0,0.6346,1927.34,7,0,1,0,2.0
241,0,0.2141,79,0,1.1358,7068.75,7,0,1,0,0.0
242,1,0.045,74,0,0.639,,6,0,1,0,1.0
243,0,0.453,69,0,0.2748,2528.04,9,0,4,0,2.0
244,0,0.2676,30,0,0.5845,,3,0,0,0,1.0
245,0,0.2194,58,1,1.1426,2230.01,9,0,0,1,0.0
246,0,0.4214,20,0,0.2655,2179.21,9,0,0,2,1.0
247,0,0.781,56,0,0.8826,4275.88,4,0,0,0,1.0
248,0,0.2946,23,0,3.0,3464.24,12,0,0,0,0.0
249,0,0.2879,25,1,0.2857,5379.89,5,0,0,0,1.0
250,0,0.3255,44,0,0.4727,8571.85,13,0,0,0,1.0
251,0,0.1454,26,0,0.4176,3729.96,8,0,1,0,1.0
252,0,0.4254,79,1,0.1286,4583.57,12,0,0,0,2.0
253,0,0.1141,54,1,0.0374,16890.46,11,0,0,0,0.0
254,0,0.2886,50,0,0.5141,4512.32,17,0,1,0,2.0
255,0,0.1613,68,0,0.3908,2148.06,3,0,1,0,0.0
256,0,0.5162,59,0,0.0955,,7,0,2,2,
257,0,0.2757,61,0,0.0754,,9,1,1,0,0.0
258,0,0.1247,41,0,0.1397,4433.38,5,0,3,0,0.0
259,0,0.563,32,2,0.1689,,8,0,0,0,0.0
260,0,0.5754,76,1,0.7365,1622.22,11,0,0,0,0.0
261,0,0.3306,71,0,1.0781,1651.66,9,0,3,0,0.0
262,0,0.0985,49,1,1.0103,6737.96,6,0,1,0,1.0
263,0,0.2455,49,2,0.3091,,6,0,1,0,1.0
264,1,0.2586,41,0,1.9744,5167.37,10,0,2,0,1.0
265,0,0.2523,58,1,0.4935,3964.41,9,0,1,0,0.0
266,0,0.0863,69,1,0.4251,3481.92,13,1,6,0,2.0
267,1,0.1877,66,1,0.905,2314.22,7,0,3,1,0.0
268,0,0.1782,79,0,0.0567,,8,0,1,0,1.0
269,0,0.154,66,0,0.0948,2246.13,8,0,1,0,2.0
270,0,0.2503,75,1,0.3658,3376.57,7,1,0,0,0.0
271,0,0.3887,69,1,1.1477,6564.7,10,0,1,0,2.0
272,0,0.2438,29,0,0.1526,,8,0,2,0,0.0
273,1,0.3662,79,0,0.1417,2230.25,9,1,1,0,0.0
274,1,0.347,56,1,3.0,3926.97,8,1,0,0,2.0
275,0,0.5184,19,0,0.1976,4555.47,9,0,1,0,1.0
276,0,0.1706,20,0,1.2961,3573.48,8,0,1,1,0.0
277,0,0.4704,66,0,3.0,5164.62,11,0,2,0,0.0
278,0,0.2835,54,0,0.1989,5204.87,9,1,1,0,0.0
279,0,0.188,66,1,1.0307,,11,0,2,0,1.0
280,0,0.0702,73,0,0.3427,13690.86,6,0,0,0,0.0
281,0,0.2807,34,1,0.031,2696.51,12,0,0,1,2.0
282,0,0.2544,76,0,1.4827,9675.02,5,0,0,0,0.0
283,0,0.225,66,1,1.8772,4115.27,11,0,0,0,1.0
284,0,0.2194,19,2,0.4926,2672.72,7,0,1,0,1.0
285,0,0.6351,19,0,0.2342,4628.81,4,0,3,0,0.0
286,0,0.2181,45,1,0.1009,2570.85,10,0,1,0,1.0
287,0,0.1965,71,1,0.7848,,5,0,0,0,0.0
288,0,0.5013,40,0,0.1871,1404.61,12,0,0,0,0.0
289,0,0.0915,54,0,0.2908,3201.55,9,0,0,0,1.0
290,0,0.3333,49,0,2.0835,5813.67,13,0,2,0,0.0
291,0,0.1501,50,1,1.5377,5011.47,10,0,1,0,0.0
292,0,0.2119,18,0,0.1019,3903.7,8,0,0,0,2.0
293,0,0.0994,36,0,0.4542,10206.87,9,0,0,1,1.0
294,0,0.0255,79,2,0.5979,13480.11,3,0,0,2,0.0
295,0,0.1456,19,0,2.1626,4289.32,12,0,0,0,1.0
296,0,0.0928,70,0,0.2946,9260.32,9,0,0,0,0.0
297,0,0.545,61,1,0.1397,3864.23,6,0,0,0,1.0
298,0,0.4293,43,0,0.2486,3218.55,6,0,0,0,0.0
299,0,0.2062,49,0,0.3681,5929.45,11,0,2,0,0.0
300,0,0.3852,23,1,0.1102,2880.57,3,0,0,0,1.0
301,0,0.5297,49,0,0.3892,580.18,5,0,0,0,1.0
302,1,0.2431,72,0,1.2399,2524.95,7,0,0,0,2.0
303,1,0.2866,21,0,0.3068,1054.85,9,0,1,0,1.0
304,0,0.4331,72,0,0.2259,2306.68,10,0,1,0,3.0
305,0,0.3211,28,0,0.2893,2066.18,5,0,1,0,0.0
306,0,0.2655,73,0,0.1434,2074.85,8,0,2,0,1.0
307,0,0.4829,76,0,0.0425,,10,0,2,0,0.0
308,0,0.1689,34,0,0.114,,10,0,3,0,0.0
309,0,0.154,55,0,0.1631,1924.07,8,0,0,1,2.0
310,0,0.512,41,0,0.3997,2334.13,7,0,1,0,1.0
311,0,0.1986,22,1,0.5905,2456.32,9,0,1,0,1.0
312,0,0.2126,69,0,0.687,3627.63,10,0,1,1,1.0
313,0,0.2108,51,2,0.641,4961.94,5,0,1,1,1.0
314,0,0.3773,23,0,0.774,,6,0,4,1,0.0
315,0,0.1893,39,1,0.8925,1640.62,9,0,2,0,0.0
316,0,0.2444,28,0,0.7389,9705.07,8,0,1,0,1.0
317,0,0.5888,65,1,1.8181,,6,0,1,0,2.0
318,0,0.5311,33,1,0.2177,1758.41,9,0,1,0,2.0
319,1,0.19,50,2,2.0244,1258.53,8,1,0,0,0.0
320,0,0.2801,26,0,0.521,2134.85,7,0,1,0,0.0
321,0,0.3587,77,0,0.9089,2534.82,7,0,0,0,2.0
322,0,0.1281,76,0,3.0,4877.54,18,0,1,0,1.0
323,0,0.3391,23,1,0.2733,,8,0,1,0,2.0
324,1,0.5098,33,0,0.846,1540.49,7,0,0,0,0.0
325,0,0.1535,46,0,1.6657,10668.62,10,0,3,0,0.0
326,0,0.3239,20,0,0.0608,3060.87,11,0,0,0,0.0
327,0,0.2963,37,1,0.8468,3161.28,13,0,1,1,0.0
328,0,0.0395,77,1,0.1049,2038.55,12,0,1,0,0.0
329,0,0.374,76,0,0.1373,5256.22,8,0,1,0,0.0
330,0,0.0566,53,0,0.0484,856.18,3,0,1,0,0.0
331,1,0.3379,36,2,0.4152,2247.59,11,0,0,0,0.0
332,0,0.2148,43,1,0.1631,705.05,7,0,2,0,0.0
333,1,0.11,20,0,0.6501,2984.61,11,0,0,0,0.0
334,1,0.149,36,0,3.0,2214.66,10,0,0,0,1.0
335,0,0.1062,37,1,3.0,966.98,7,0,1,0,1.0
336,0,0.4349,49,1,0.5128,6139.34,7,0,2,0,0.0
337,1,0.2142,24,0,0.8542,,12,0,2,0,0.0
338,0,0.5557,69,1,0.3083,6222.54,8,0,1,0,1.0
339,0,0.0655,58,0,0.2864,1054.08,6,0,4,0,1.0
340,0,0.2691,50,0,0.0917,1498.96,6,0,2,0,2.0
341,0,0.4955,57,0,1.7745,,8,0,1,0,1.0
342,0,0.1458,56,1,0.3075,5337.16,9,0,0,0,1.0
343,0,0.2723,35,0,0.1062,8083.45,8,0,1,0,0.0
344,0,0.536,57,0,3.0,2558.38,10,0,3,0,0.0
345,0,0.0743,18,0,0.0328,2803.3,8,1,0,0,0.0
346,0,0.0789,28,0,0.2974,4658.19,5,0,0,0,1.0
347,0,0.0943,45,0,0.0885,1175.33,8,0,1,0,0.0
348,0,0.4613,74,0,3.0,3470.86,7,0,0,0,1.0
349,0,0.4701,42,1,0.7572,17847.67,8,0,0,1,0.0
350,0,0.544,67,0,0.207,,8,0,1,0,1.0
351,0,0.3411,40,0,0.0577,985.05,8,0,1,0,1.0
352,0,0.2637,48,0,0.1529,4035.41,9,0,2,0,0.0
353,0,0.3192,47,1,2.6081,1610.47,11,0,3,0,
354,0,0.4747,59,0,0.3641,2807.94,5,0,2,0,0.0
355,0,0.1,52,0,0.3663,,1,0,1,1,0.0
356,0,0.1683,24,0,3.0,4472.8,7,0,1,0,1.0
357,1,0.0973,77,0,1.9862,2149.8,8,0,2,0,0.0
358,0,0.2801,33,0,0.7152,5442.74,5,0,0,0,0.0
359,1,0.067,43,1,0.3558,941.56,11,0,2,0,0.0
360,0,0.1813,65,0,0.4448,3474.02,9,0,1,0,1.0
361,0,0.4689,74,0,2.4364,2312.99,7,1,3,0,1.0
362,0,0.3241,69,0,0.1906,580.16,6,0,0,0,1.0
363,0,0.2831,77,0,0.3236,1296.72,10,0,1,0,2.0
364,0,0.3339,66,0,3.0,,12,0,2,0,1.0
365,0,0.2681,19,0,0.763,,14,0,2,0,0.0
366,1,0.2321,18,1,0.2839,3072.77,12,0,0,1,0.0
367,0,0.3658,65,0,0.3225,2459.83,10,0,0,0,0.0
368,0,0.082,79,1,0.3585,,8,0,1,0,0.0
369,0,0.515,29,0,0.4333,3666.76,5,0,0,0,0.0
370,0,0.3048,22,0,0.5535,6082.59,4,0,1,0,1.0
371,0,0.1962,54,0,0.1142,,9,0,1,0,1.0
372,1,0.588,49,2,0.5808,1838.44,9,0,0,0,0.0
373,1,0.1444,76,2,0.7658,4840.29,7,0,2,0,
374,0,0.4592,72,0,0.0794,5929.86,7,0,1,1,0.0
375,1,0.2192,26,0,0.9018,8064.41,9,0,2,0,0.0
376,0,0.0937,58,0,0.4597,2092.46,7,0,1,0,0.0
377,0,0.0481,52,0,0.1128,,4,0,0,1,1.0
378,0,0.2693,36,0,1.0764,5604.74,6,0,2,1,0.0
379,0,0.1016,65,1,0.3006,5454.42,10,0,0,0,0.0
380,0,0.303,33,1,0.4901,2117.24,13,0,1,0,1.0
381,0,0.0379,20,0,0.1178,1890.12,7,0,0,0,2.0
382,0,0.3725,37,0,0.3858,2234.95,6,0,2,1,0.0
383,0,0.3612,41,0,1.6154,,7,0,0,0,0.0
384,0,0.0766,71,0,0.1272,1625.59,7,0,0,0,2.0
385,0,0.7164,73,0,0.0944,4059.87,6,0,1,0,0.0
386,0,0.1633,50,0,0.2141,903.55,8,0,1,0,1.0
387,0,0.386,41,0,0.2765,1690.72,8,0,2,0,1.0
388,0,0.5132,69,0,0.537,3442.34,6,0,0,1,0.0
389,0,0.1394,28,0,0.1288,1590.08,8,0,0,0,1.0
390,0,0.1196,66,0,0.1053,2258.0,5,0,1,0,2.0
391,0,0.3042,25,0,0.7049,2768.28,7,0,0,0,1.0
392,0,0.1282,53,1,1.8536,13357.33,14,1,1,0,0.0
393,0,0.6233,55,1,0.3109,1212.96,6,0,2,1,0.0
394,1,0.4022,57,0,1.257,3569.11,8,1,0,0,1.0
395,0,0.513,37,1,1.2757,1476.91,18,0,0,0,1.0
396,0,0.3585,79,0,1.0872,1438.65,4,0,1,0,2.0
397,0,0.2235,52,0,0.6211,1640.19,7,0,1,0,2.0
398,0,0.2773,65,1,0.0425,2712.22,7,0,0,0,0.0
399,0,0.5891,79,0,0.4007,,10,0,2,0,2.0
400,0,0.2428,42,0,0.0902,6887.6,10,0,0,0,0.0
401,0,0.1942,52,1,2.7482,2195.95,10,0,3,0,0.0
